Pathways;Name;Identifier;Formula;Compartment;Monoisotopic Mass;Neutral Monoisotopic Mass;Average Mass;Side compound;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);L-Asparagine;C00152;C4H8N2O3;x;132,1179;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);L-Aspartate;C00049;C4H7NO4;x;133,1027;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);L-Citrulline;C00327;C6H13N3O3;x;175,1857;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);L-Glutamate;C00025;C5H9NO4;x;147,1293;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);L-Glutamine;C00064;C5H10N2O3;x;146,1445;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);N-(L-Arginino)succinate;C03406;C10H18N4O6;x;290,2731;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);N-Acetyl-L-aspartate;C01042;C6H9NO5;x;175,1394;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);N-Acetylaspartylglutamate;C12270;C11H16N2O8;x;304,2533;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);N-Acetylaspartylglutamylglutamate;C20776;C16H23N3O11;x;433,3673;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);N-Carbamoyl-L-aspartate;C00438;C5H8N2O5;x;176,1274;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);N6-(1,2-Dicarboxyethyl)-AMP;C03794;C14H18N5O11P;x;463,2934;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);Oxaloacetate;C00036;C4H4O5;x;132,0716;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);Pyruvate;C00022;C3H4O3;x;88,0621;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);Succinate;C00042;C4H6O4;x;118,088;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);Succinate semialdehyde;C00232;C4H6O3;x;102,0886;0;0;false;;;;;;;;;;;;;;;;
alpha-Linolenic acid metabolism - Homo sapiens (human);(+)-7-Isojasmonic acid CoA;C16339;C33H52N7O18P3S;x;959,7884;0;0;false;;;;;;;;;;;;;;;;
alpha-Linolenic acid metabolism - Homo sapiens (human);(9Z,12Z,15Z)-Octadecatrienoic acid;C06427;C18H30O2;x;278,4296;0;0;false;;;;;;;;;;;;;;;;
alpha-Linolenic acid metabolism - Homo sapiens (human);3-Oxo-OPC4-CoA;C16338;C35H54N7O19P3S;x;1001,825;0;0;false;;;;;;;;;;;;;;;;
alpha-Linolenic acid metabolism - Homo sapiens (human);3-Oxo-OPC6-CoA;C16334;C37H58N7O19P3S;x;1029,8782;0;0;false;;;;;;;;;;;;;;;;
alpha-Linolenic acid metabolism - Homo sapiens (human);3-Oxo-OPC8-CoA;C16330;C39H62N7O19P3S;x;1057,9314;0;0;false;;;;;;;;;;;;;;;;
alpha-Linolenic acid metabolism - Homo sapiens (human);OPC4-CoA;C16335;C35H56N7O18P3S;x;987,8415;0;0;false;;;;;;;;;;;;;;;;
alpha-Linolenic acid metabolism - Homo sapiens (human);OPC6-CoA;C16331;C37H60N7O18P3S;x;1015,8947;0;0;false;;;;;;;;;;;;;;;;
alpha-Linolenic acid metabolism - Homo sapiens (human);OPC8-CoA;C16327;C39H64N7O18P3S;x;1043,9478;0;0;false;;;;;;;;;;;;;;;;
alpha-Linolenic acid metabolism - Homo sapiens (human);Phosphatidylcholine;C00157;C10H18NO8PR2;x;0;0;0;false;;;;;;;;;;;;;;;;
alpha-Linolenic acid metabolism - Homo sapiens (human);Stearidonic acid;C16300;C18H28O2;x;276,4137;0;0;false;;;;;;;;;;;;;;;;
alpha-Linolenic acid metabolism - Homo sapiens (human);trans-2-Enoyl-OPC4-CoA;C16336;C35H54N7O18P3S;x;985,8256;0;0;false;;;;;;;;;;;;;;;;
alpha-Linolenic acid metabolism - Homo sapiens (human);trans-2-Enoyl-OPC6-CoA;C16332;C37H58N7O18P3S;x;1013,8788;0;0;false;;;;;;;;;;;;;;;;
alpha-Linolenic acid metabolism - Homo sapiens (human);trans-2-Enoyl-OPC8-CoA;C16328;C39H62N7O18P3S;x;1041,932;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);6-Deoxy-L-galactose;C01019;C6H12O5;x;164,1565;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);alpha-D-Galactose;C00984;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);alpha-D-Galactose 1-phosphate;C00446;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);alpha-D-Glucose;C00267;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);alpha-D-Glucose 6-phosphate;C00668;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);beta-D-Fructose;C02336;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);beta-D-Fructose 6-phosphate;C05345;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);Chitin;C00461;(C8H13NO5)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);Chitobiose;C01674;C16H28N2O11;x;424,4003;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);CMP-N-acetylneuraminate;C00128;C20H31N4O16P;x;614,4511;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);CMP-N-glycoloylneuraminate;C03691;C20H31N4O17P;x;630,4505;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);D-Fructose 6-phosphate;C00085;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);D-Glucosamine;C00329;C6H13NO5;x;179,1711;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);D-Glucosamine 6-phosphate;C00352;C6H14NO8P;x;259,151;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);D-Glucose 1-phosphate;C00103;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);D-Mannose;C00159;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);D-Mannose 1-phosphate;C00636;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);D-Mannose 6-phosphate;C00275;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);Ferricytochrome b5;C00996;NA;x;0;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);Ferrocytochrome b5;C00999;NA;x;0;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);GDP-4-dehydro-6-deoxy-D-mannose;C01222;C16H23N5O15P2;x;587,3258;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);GDP-L-fucose;C00325;C16H25N5O15P2;x;589,3417;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);GDP-mannose;C00096;C16H25N5O16P2;x;605,3411;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);L-Fucose 1-phosphate;C02985;C6H13O8P;x;244,1364;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);L-Glutamine;C00064;C5H10N2O3;x;146,1445;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);N-Acetyl-alpha-D-glucosamine 1-phosphate;C04501;C8H16NO9P;x;301,1877;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);N-Acetyl-D-glucosamine;C00140;C8H15NO6;x;221,2078;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);N-Acetyl-D-glucosamine 6-phosphate;C00357;C8H16NO9P;x;301,1877;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);N-Acetyl-D-mannosamine;C00645;C8H15NO6;x;221,2078;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);N-Acetyl-D-mannosamine 6-phosphate;C04257;C8H16NO9P;x;301,1877;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);N-Acetylneuraminate;C00270;C11H19NO9;x;309,2699;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);N-Acetylneuraminate 9-phosphate;C06241;C11H20NO12P;x;389,2498;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);N-Glycoloyl-neuraminate;C03410;C11H19NO10;x;325,2693;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);UDP-alpha-D-galactose;C00052;C15H24N2O17P2;x;566,3018;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);UDP-D-xylose;C00190;C14H22N2O16P2;x;536,2758;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);UDP-glucose;C00029;C15H24N2O17P2;x;566,3018;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);UDP-glucuronate;C00167;C15H22N2O18P2;x;580,2853;0;0;false;;;;;;;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human);UDP-N-acetyl-alpha-D-glucosamine;C00043;C17H27N3O17P2;x;607,3537;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);10-Formyltetrahydrofolate;C00234;C20H23N7O7;x;473,4393;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);Glutaminyl-tRNA;C02282;C20H29N7O12PR(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);Glycine;C00037;C2H5NO2;x;75,0666;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);Glycyl-tRNA(Gly);C02412;C12H20NO11PR2(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Alanine;C00041;C3H7NO2;x;89,0932;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Alanyl-tRNA;C00886;C13H22NO11PR2(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Arginine;C00062;C6H14N4O2;x;174,201;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Arginyl-tRNA(Arg);C02163;C21H33N9O11PR(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Asparagine;C00152;C4H8N2O3;x;132,1179;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Asparaginyl-tRNA(Asn);C03402;C14H23N2O12PR2(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Aspartate;C00049;C4H7NO4;x;133,1027;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Aspartyl-tRNA(Asn);C06113;C14H22NO13PR2(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Aspartyl-tRNA(Asp);C02984;C14H22NO13PR2(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Cysteine;C00097;C3H7NO2S;x;121,1582;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Cysteinyl-tRNA(Cys);C03125;C18H26N6O11PSR(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Glutamate;C00025;C5H9NO4;x;147,1293;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Glutamine;C00064;C5H10N2O3;x;146,1445;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Glutamyl-tRNA(Gln);C06112;C20H28N6O13PR(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Glutamyl-tRNA(Glu);C02987;C20H28N6O13PR(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Histidine;C00135;C6H9N3O2;x;155,1546;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Histidyl-tRNA(His);C02988;C16H24N3O11PR2(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Isoleucine;C00407;C6H13NO2;x;131,1729;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Isoleucyl-tRNA(Ile);C03127;C21H32N6O11PR(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Leucine;C00123;C6H13NO2;x;131,1729;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Leucyl-tRNA;C02047;C21H32N6O11PR(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Lysine;C00047;C6H14N2O2;x;146,1876;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Lysyl-tRNA;C01931;C16H29N2O11PR2(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Methionine;C00073;C5H11NO2S;x;149,2113;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Methionyl-tRNA;C02430;C20H30N6O11PSR(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Phenylalanine;C00079;C9H11NO2;x;165,1891;0;0;false;;;;;;;;;;;;;;;;
