Pathways;Name;Identifier;Formula;Compartment;Monoisotopic Mass;Neutral Monoisotopic Mass;Average Mass;Side compound;;;;;;;;;;;;;;;;
Folate biosynthesis - Homo sapiens (human);Tetrahydrobiopterin;C00272;C9H15N5O3;x;241,2471;0;0;false;;;;;;;;;;;;;;;;
Folate biosynthesis - Homo sapiens (human);Tetrahydrofolate;C00101;C19H23N7O6;x;445,4292;0;0;false;;;;;;;;;;;;;;;;
Folate biosynthesis - Homo sapiens (human);THF-L-glutamate;C09332;C24H30N8O9;x;574,5432;0;0;false;;;;;;;;;;;;;;;;
Folate biosynthesis - Homo sapiens (human);THF-polyglutamate;C03541;C24H30N8O9(C5H7NO3)n-2;x;0;0;0;false;;;;;;;;;;;;;;;;
Folate biosynthesis - Homo sapiens (human);Thio-molybdenum cofactor;C21486;C10H12MoN5O7PS3;x;537,3403;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);2-Dehydro-3-deoxy-L-fuconate;C03827;C6H10O5;x;162,1406;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);6-Deoxy-L-galactose;C01019;C6H12O5;x;164,1565;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);alpha-D-Glucose;C00267;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);beta-D-Fructose 1,6-bisphosphate;C05378;C6H14O12P2;x;340,1157;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);beta-D-Fructose 2,6-bisphosphate;C00665;C6H14O12P2;x;340,1157;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);beta-D-Fructose 6-phosphate;C05345;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);D-Fructose;C00095;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);D-Fructose 1-phosphate;C01094;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);D-Glyceraldehyde;C00577;C3H6O3;x;90,0779;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);D-Glyceraldehyde 3-phosphate;C00118;C3H7O6P;x;170,0578;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);D-Mannose;C00159;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);D-Mannose 1-phosphate;C00636;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);D-Mannose 6-phosphate;C00275;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);D-Sorbitol;C00794;C6H14O6;x;182,1718;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);GDP-4-dehydro-6-deoxy-D-mannose;C01222;C16H23N5O15P2;x;587,3258;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);GDP-L-fucose;C00325;C16H25N5O15P2;x;589,3417;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);GDP-mannose;C00096;C16H25N5O16P2;x;605,3411;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);Glycerone phosphate;C00111;C3H7O6P;x;170,0578;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);L-Fuconate;C01720;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Fructose and mannose metabolism - Homo sapiens (human);L-Fucose 1-phosphate;C02985;C6H13O8P;x;244,1364;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);3-beta-D-Galactosyl-sn-glycerol;C05401;C9H18O8;x;254,2344;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);alpha-D-Galactose;C00984;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);alpha-D-Galactose 1-phosphate;C00446;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);alpha-D-Galactosyl-(1->3)-1D-myo-inositol;C01235;C12H22O11;x;342,2965;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);alpha-D-Glucose;C00267;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);alpha-D-Glucose 6-phosphate;C00668;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);D-Fructose;C00095;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose;C05404;C18H32O16;x;504,4371;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);D-Galactose;C00124;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);D-Glucose;C00031;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);D-Glucose 1-phosphate;C00103;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);D-Mannose;C00159;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);D-Sorbitol;C00794;C6H14O6;x;182,1718;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);D-Tagatose 1,6-bisphosphate;C03785;C6H14O12P2;x;340,1157;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);D-Tagatose 6-phosphate;C01097;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);Epimelibiose;C05400;C12H22O11;x;342,2965;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);Galactitol;C01697;C6H14O6;x;182,1718;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);Glycerol;C00116;C3H8O3;x;92,0938;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);Lactose;C00243;C12H22O11;x;342,2965;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);Melibiitol;C05399;C12H24O11;x;344,3124;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);Melibiose;C05402;C12H22O11;x;342,2965;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);myo-Inositol;C00137;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);Raffinose;C00492;C18H32O16;x;504,4371;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);Stachyose;C01613;C24H42O21;x;666,5777;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);Sucrose;C00089;C12H22O11;x;342,2965;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);UDP-alpha-D-galactose;C00052;C15H24N2O17P2;x;566,3018;0;0;false;;;;;;;;;;;;;;;;
Galactose metabolism - Homo sapiens (human);UDP-glucose;C00029;C15H24N2O17P2;x;566,3018;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);(5-L-Glutamyl)-L-amino acid;C03740;C7H11N2O5R;x;0;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);5'-Methylthioadenosine;C00170;C11H15N5O3S;x;297,3335;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);6-Phospho-D-gluconate;C00345;C6H13O10P;x;276,1352;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);Acetyl-CoA;C00024;C23H38N7O17P3S;x;809,5708;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);Aminopropylcadaverine;C16565;C8H21N3;x;159,2724;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);beta-D-Glucose 6-phosphate;C01172;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);Cadaverine;C01672;C5H14N2;x;102,1781;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);Cys-Gly;C01419;C5H10N2O3S;x;178,2095;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);D-Glucono-1,5-lactone 6-phosphate;C01236;C6H11O9P;x;258,1199;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);D-Ribulose 5-phosphate;C00199;C5H11O8P;x;230,1098;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);gamma-L-Glutamyl-L-cysteine;C00669;C8H14N2O5S;x;250,2722;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);Glutathione;C00051;C10H17N3O6S;x;307,3235;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);Glutathione disulfide;C00127;C20H32N6O12S2;x;612,6311;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);Glycine;C00037;C2H5NO2;x;75,0666;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);L-Amino acid;C00151;C2H4NO2R;x;0;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);L-Cysteine;C00097;C3H7NO2S;x;121,1582;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);L-Glutamate;C00025;C5H9NO4;x;147,1293;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);L-Ornithine;C00077;C5H12N2O2;x;132,161;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);NADP+;C00006;C21H29N7O17P3;x;744,4129;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);NADPH;C00005;C21H30N7O17P3;x;745,4209;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);Pidolic acid;C01879;C5H7NO3;x;129,114;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);Putrescine;C00134;C4H12N2;x;88,1515;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);R-S-Cysteinylglycine;C05729;C5H9N2O3SR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);R-S-Glutathione;C02320;C10H16N3O6SR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);RX;C01322;XR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);S-Adenosylmethioninamine;C01137;C14H23N6O3S;x;355,4358;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);S-Substituted L-cysteine;C05726;C3H6NO2SR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);S-Substituted N-acetyl-L-cysteine;C05727;C5H8NO3SR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);Trypanothione;C02090;C27H49N9O10S2;x;723,8623;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);Trypanothione disulfide;C03170;C27H47N9O10S2;x;721,8464;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);Tryparedoxin;C16663;NA;x;0;0;0;false;;;;;;;;;;;;;;;;
Glutathione metabolism - Homo sapiens (human);Tryparedoxin disulfide;C16664;NA;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol;C03692;C11H16O10R2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);1,2-Diacyl-sn-glycerol;C00641;C5H6O5R2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);1-Acyl-sn-glycerol 3-phosphate;C00681;C4H8O7PR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);1-Acylglycerol;C01885;C4H7O4R;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);2-Phospho-D-glycerate;C00631;C3H7O7P;x;186,0572;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);Acyl-CoA;C00040;C22H35N7O17P3SR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);D-Glyceraldehyde;C00577;C3H6O3;x;90,0779;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);D-Glycerate;C00258;C3H6O4;x;106,0773;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);Digalactosyl-diacylglycerol;C06037;C17H26O15R2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);Fatty acid;C00162;CHO2R;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);Glycerol;C00116;C3H8O3;x;92,0938;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);Glycerone;C00184;C3H6O3;x;90,0779;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);Glycerone phosphate;C00111;C3H7O6P;x;170,0578;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);Phosphatidate;C00416;C5H7O8PR2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);sn-Glycerol 3-phosphate;C00093;C3H9O6P;x;172,0737;0;0;false;;;;;;;;;;;;;;;;
Glycerolipid metabolism - Homo sapiens (human);Triacylglycerol;C00422;C6H5O6R3;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);1,2-Diacyl-sn-glycerol;C00641;C5H6O5R2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);1-Acyl-sn-glycero-3-phosphocholine;C04230;C9H20NO7PR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);1-Acyl-sn-glycero-3-phosphoethanolamine;C04438;C6H13NO7PR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);1-Acyl-sn-glycero-3-phosphoglycerol;C18126;C7H14O9PR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);1-Acyl-sn-glycero-3-phosphoserine;C18125;C7H13NO9PR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);1-Acyl-sn-glycerol 3-phosphate;C00681;C4H8O7PR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);1-Acylglycerophosphoinositol;C03819;C10H18O12PR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);1-Phosphatidyl-D-myo-inositol;C01194;C11H17O13PR2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);2-Acyl-sn-glycero-3-phosphocholine;C04233;C9H20NO7PR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);2-Acyl-sn-glycero-3-phosphoethanolamine;C05973;C6H13NO7PR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);2-Acyl-sn-glycero-3-phosphoserine;C05974;C7H13NO9PR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Acetaldehyde;C00084;C2H4O;x;44,0526;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Acetylcholine;C01996;C7H16NO2;x;146,2074;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Acyl-CoA;C00040;C22H35N7O17P3SR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Acylglycerone phosphate;C03372;C4H6O7PR;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Cardiolipin;C05980;C13H18O17P2R4;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);CDP-choline;C00307;C14H26N4O11P2;x;488,324;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);CDP-diacylglycerol;C00269;C14H19N3O15P2R2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);CDP-ethanolamine;C00570;C11H20N4O11P2;x;446,2442;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);CDP-glycerol;C00513;C12H21N3O13P2;x;477,255;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Choline;C00114;C5H14NO;x;104,1708;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Choline phosphate;C00588;C5H15NO4P;x;184,1507;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Ethanolamine;C00189;C2H7NO;x;61,0831;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Ethanolamine phosphate;C00346;C2H8NO4P;x;141,063;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Glycerone phosphate;C00111;C3H7O6P;x;170,0578;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Monolysocardiolipin;C18129;C12H19O16P2R3;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);myo-Inositol;C00137;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Phosphatidate;C00416;C5H7O8PR2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Phosphatidyl-N-dimethylethanolamine;C04308;C9H16NO8PR2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Phosphatidyl-N-methylethanolamine;C01241;C8H14NO8PR2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Phosphatidylcholine;C00157;C10H18NO8PR2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Phosphatidylethanolamine;C00350;C7H12NO8PR2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Phosphatidylglycerol;C00344;C8H13O10PR2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Phosphatidylglycerophosphate;C03892;C8H14O13P2R2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);Phosphatidylserine;C02737;C8H12NO10PR2;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);sn-Glycero-3-phosphocholine;C00670;C8H21NO6P;x;258,2292;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);sn-Glycero-3-phosphoethanolamine;C01233;C5H14NO6P;x;215,1415;0;0;false;;;;;;;;;;;;;;;;
Glycerophospholipid metabolism - Homo sapiens (human);sn-Glycerol 3-phosphate;C00093;C3H9O6P;x;172,0737;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);2-Oxobutanoate;C00109;C4H6O3;x;102,0886;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);2-Phospho-D-glycerate;C00631;C3H7O7P;x;186,0572;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);3-Phospho-D-glycerate;C00197;C3H7O7P;x;186,0572;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);3-Phosphonooxypyruvate;C03232;C3H5O7P;x;184,0414;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);5,10-Methylenetetrahydrofolate;C00143;C20H23N7O6;x;457,4399;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);5-Aminolevulinate;C00430;C5H9NO3;x;131,1299;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Aminoacetone;C01888;C3H7NO;x;73,0938;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Ammonia;C00014;NH3;x;17,0305;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Betaine;C00719;C5H11NO2;x;117,1463;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Betaine aldehyde;C00576;C5H12NO;x;102,1549;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Choline;C00114;C5H14NO;x;104,1708;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);CO2;C00011;CO2;x;44,0095;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Creatine;C00300;C4H9N3O2;x;131,1332;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);D-Glycerate;C00258;C3H6O4;x;106,0773;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);D-Serine;C00740;C3H7NO3;x;105,0926;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Dihydrolipoylprotein;C02972;C8H16NOS2R;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Glycine;C00037;C2H5NO2;x;75,0666;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Glyoxylate;C00048;C2H2O3;x;74,0355;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Guanidinoacetate;C00581;C3H7N3O2;x;117,1066;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Hydroxypyruvate;C00168;C3H4O4;x;104,0615;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);L-2-Amino-3-oxobutanoic acid;C03508;C4H7NO3;x;117,1033;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);L-Cystathionine;C02291;C7H14N2O4S;x;222,2621;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);L-Cysteine;C00097;C3H7NO2S;x;121,1582;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);L-Serine;C00065;C3H7NO3;x;105,0926;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);L-Threonine;C00188;C4H9NO3;x;119,1192;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Lipoylprotein;C02051;C8H14NOS2R;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Methylglyoxal;C00546;C3H4O2;x;72,0627;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);N,N-Dimethylglycine;C01026;C4H9NO2;x;103,1198;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);O-Phospho-L-serine;C01005;C3H8NO6P;x;185,0725;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Pyruvate;C00022;C3H4O3;x;88,0621;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);S-Aminomethyldihydrolipoylprotein;C01242;C9H19N2OS2R;x;0;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Sarcosine;C00213;C3H7NO2;x;89,0932;0;0;false;;;;;;;;;;;;;;;;
Glycine, serine and threonine metabolism - Homo sapiens (human);Tetrahydrofolate;C00101;C19H23N7O6;x;445,4292;0;0;false;;;;;;;;;;;;;;;;
Glycolysis / Gluconeogenesis - Homo sapiens (human);(S)-Lactate;C00186;C3H6O3;x;90,0779;0;0;false;;;;;;;;;;;;;;;;
Glycolysis / Gluconeogenesis - Homo sapiens (human);2,3-Bisphospho-D-glycerate;C01159;C3H8O10P2;x;266,0371;0;0;false;;;;;;;;;;;;;;;;
Glycolysis / Gluconeogenesis - Homo sapiens (human);2-(alpha-Hydroxyethyl)thiamine diphosphate;C05125;C14H23N4O8P2S;x;469,3669;0;0;false;;;;;;;;;;;;;;;;
Glycolysis / Gluconeogenesis - Homo sapiens (human);2-Phospho-D-glycerate;C00631;C3H7O7P;x;186,0572;0;0;false;;;;;;;;;;;;;;;;
Glycolysis / Gluconeogenesis - Homo sapiens (human);3-Phospho-D-glycerate;C00197;C3H7O7P;x;186,0572;0;0;false;;;;;;;;;;;;;;;;
Glycolysis / Gluconeogenesis - Homo sapiens (human);3-Phospho-D-glyceroyl phosphate;C00236;C3H8O10P2;x;266,0371;0;0;false;;;;;;;;;;;;;;;;
Glycolysis / Gluconeogenesis - Homo sapiens (human);Acetaldehyde;C00084;C2H4O;x;44,0526;0;0;false;;;;;;;;;;;;;;;;
Glycolysis / Gluconeogenesis - Homo sapiens (human);Acetate;C00033;C2H4O2;x;60,052;0;0;false;;;;;;;;;;;;;;;;
Glycolysis / Gluconeogenesis - Homo sapiens (human);Acetyl-CoA;C00024;C23H38N7O17P3S;x;809,5708;0;0;false;;;;;;;;;;;;;;;;
Glycolysis / Gluconeogenesis - Homo sapiens (human);alpha-D-Glucose;C00267;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Glycolysis / Gluconeogenesis - Homo sapiens (human);alpha-D-Glucose 6-phosphate;C00668;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Glycolysis / Gluconeogenesis - Homo sapiens (human);beta-D-Fructose 1,6-bisphosphate;C05378;C6H14O12P2;x;340,1157;0;0;false;;;;;;;;;;;;;;;;
