C17349
C00086
C01104
C00037
C00160
C00022
C02632
C00041
C00099
C00133
C00213
C01537
C00209
C00033
C00256
C14447
C00747
C00747
C00292
C00146
C18319
C08262
C00803
C00334
C02261
C03665
C00246
C05145
C00114
C00383
C00246
C00065
C06772
C00258
C01987
C05058
C02372
C05942
C00380
C00388
C00106
C00791
C00148
C00122
C01384
C01585
C00581
C00431
C07328
C00183
C10900
C02170
C00042
C00246
C00246
C00803
C00246
C00803
C12317
C00263
C00188
C01796
C00097
C00633
C00180
C00153
C16884
C00503
C00253
C10164
C03351
C17467
C01502
C00245
C03557
C02376
C05127
C02835
C00178
C01545
C01879
C00408
C07151
C00902
C03465
C00233
C02714
C00059
C00803
C03440
C05147
C01157
C00300
C02378
C00803
C00407
C00123
C01933
C02642
C00152
C02037
C01585
C00049
C02040
C00149
C01801
C00155
C00147
C00246
C00262
C07215
C07086
C02918
C00108
C00568
C01004
C00587
C00156
C00805
C00253
C00785
C00253
C00253
C18620
C00870
C00253
C10164
C01020
C10164
C05828
C00346
C03088
C09822
C10172
C00246
C01035
C00026
C00819
C00064
C00217
C00025
C12269
C00979
C10438
C07418
C00073
C08434
C00181
C00259
C00242
C06804
C00385
C00797
C05852
C12064
C14088
C21167
C00642
C02519
C12064
C00474
C00532
C00632
C05135
C02235
C00135
C00295
C00400
C20828
C01551
C02656
C00993
C00398
C19837
C00487
C03761
C00745
C05727
C01772
C00811
C00166
C12621
C02095
C01019
C00507
C02989
C02242
C02057
C16358
C16357
C16353
C00163
C01744
C00033
C00163
C07086
C00033
C12101
C03493
C00250
C00074
C00366
C11527
C00033
C06672
C00534
C00314
C01152
C01152
C00118
C00111
C00093
C01571
C02710
C00417
C05422
C02341
C00062
C06213
C01042
C03139
C00954
C00327
C00072
C02504
C00780
C03145
C01419
C19569
C01586
C05380
C01487
C00095
C00124
C00159
C00031
C00137
586336
C03290
C00082
C16359
C03672
C05582
C07086
C00392
C00794
C00847
C00556
C01005
C21283
C01029
C02727
C02774
C01571
C01717
C00624
C20635
C05635
C06417
C02712
C00296
C05598
C16245
C08348
C10470
C01494
C07086
C00033
C07588
C00880
C00257
C00556
C05584
C14566
C17803
C08277
C00078
C02470
C05660
C02043
C03519
C00328
C00818
C01909
C08317
C03017
C16199
C00978
C00864
C01017
C00140
C01074
C00645
C00542
C02291
C02794
C00931
C00386
C00881
C00526
C05570
C00620
C00117
C00199
C00835
C00491
C03592
C00214
C00475
C02067
C00299
C00120
C05643
C00669
C00559
C05512
C07784
C00249
C00085
C00031
C05642
C00212
C01817
C00294
C02537
C02494
C00387
C01762
C01530
C22293
C19615
C01227
C00523
C04373
C00523
C07534
C07041
C00170
C20674
C00378
C10788
C01851
C00051
C00365
C01571
C01953
C15484
C00055
C00105
C00360
C00455
C01185
C08316
C09264
C00185
C00252
C07064
C05402
C00089
C01699
C01367
C00020
C00362
C02538
C00852
C00144
C03990
C03451
C01081
C00021
C00187
C08427
C00019
C00015
C00206
C00008
C00504
C00035
C11133
C05466
C09731
C01847
C11135
C11136
C00458
C00460
C00459
C00063
C00075
C00131
C05465
C05463
C00492
C01835
C00002
C00286
C00081
C05122
C00044
C13050
C00301
C03642
C09789
C00325
C05793
C00127
C00003
C00857
C01613
C00882
C00249
C00006
C00005
C00016
C00024
C02557
C13452
